model,horizon_steps,horizon_days,final_mse,step_losses
gru,15,150,1.6232041120529175,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175]"
gru,20,200,1.4841784238815308,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175, 1.6233876943588257, 1.4563539028167725, 1.544162392616272, 1.5531467199325562, 1.4841784238815308]"
gru,30,300,1.5291469097137451,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175, 1.6233876943588257, 1.4563539028167725, 1.544162392616272, 1.5531467199325562, 1.4841784238815308, 1.4940098524093628, 1.4020594358444214, 1.4103864431381226, 1.4222725629806519, 1.5059747695922852, 1.4806358814239502, 1.4566255807876587, 1.6013458967208862, 1.526393175125122, 1.5291469097137451]"
gru,40,400,1.7352888584136963,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175, 1.6233876943588257, 1.4563539028167725, 1.544162392616272, 1.5531467199325562, 1.4841784238815308, 1.4940098524093628, 1.4020594358444214, 1.4103864431381226, 1.4222725629806519, 1.5059747695922852, 1.4806358814239502, 1.4566255807876587, 1.6013458967208862, 1.526393175125122, 1.5291469097137451, 1.5790828466415405, 1.5192112922668457, 1.4944483041763306, 1.5189173221588135, 1.5232532024383545, 1.5740364789962769, 1.5634487867355347, 1.4718185663223267, 1.756677269935608, 1.7352888584136963]"
gru,50,500,1.6781291961669922,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175, 1.6233876943588257, 1.4563539028167725, 1.544162392616272, 1.5531467199325562, 1.4841784238815308, 1.4940098524093628, 1.4020594358444214, 1.4103864431381226, 1.4222725629806519, 1.5059747695922852, 1.4806358814239502, 1.4566255807876587, 1.6013458967208862, 1.526393175125122, 1.5291469097137451, 1.5790828466415405, 1.5192112922668457, 1.4944483041763306, 1.5189173221588135, 1.5232532024383545, 1.5740364789962769, 1.5634487867355347, 1.4718185663223267, 1.756677269935608, 1.7352888584136963, 1.543021559715271, 3.074652910232544, 3.0600790977478027, 1.6247942447662354, 1.6559555530548096, 2.268792152404785, 2.3005921840667725, 1.6743366718292236, 1.7160027027130127, 1.6781291961669922]"
gru,100,1000,2.4439265727996826,"[0.0, 1.6685898303985596, 2.0021274089813232, 1.880114197731018, 1.9678958654403687, 1.8503830432891846, 1.9845117330551147, 1.6924362182617188, 1.7972925901412964, 1.6226109266281128, 1.5809820890426636, 1.4827380180358887, 1.5831042528152466, 1.5437052249908447, 1.5994412899017334, 1.6232041120529175, 1.6233876943588257, 1.4563539028167725, 1.544162392616272, 1.5531467199325562, 1.4841784238815308, 1.4940098524093628, 1.4020594358444214, 1.4103864431381226, 1.4222725629806519, 1.5059747695922852, 1.4806358814239502, 1.4566255807876587, 1.6013458967208862, 1.526393175125122, 1.5291469097137451, 1.5790828466415405, 1.5192112922668457, 1.4944483041763306, 1.5189173221588135, 1.5232532024383545, 1.5740364789962769, 1.5634487867355347, 1.4718185663223267, 1.756677269935608, 1.7352888584136963, 1.543021559715271, 3.074652910232544, 3.0600790977478027, 1.6247942447662354, 1.6559555530548096, 2.268792152404785, 2.3005921840667725, 1.6743366718292236, 1.7160027027130127, 1.6781291961669922, 2.172842502593994, 2.118692398071289, 1.6846843957901, 1.6929876804351807, 2.2522366046905518, 2.2675976753234863, 2.2096543312072754, 1.7263838052749634, 1.6715821027755737, 1.6286424398422241, 2.196915864944458, 1.6523510217666626, 2.22479248046875, 1.6264394521713257, 1.6683233976364136, 1.669519305229187, 2.241987943649292, 1.7418441772460938, 1.7051891088485718, 2.236811637878418, 1.6665843725204468, 1.6968220472335815, 1.7144416570663452, 1.6955604553222656, 2.2323968410491943, 1.6803032159805298, 2.1639187335968018, 1.6670026779174805, 1.6825542449951172, 1.7359379529953003, 2.2711384296417236, 1.7160590887069702, 1.6922664642333984, 1.6378862857818604, 1.6257421970367432, 1.6823749542236328, 1.7337929010391235, 1.6908998489379883, 1.6853885650634766, 1.7886409759521484, 2.10648512840271, 2.091512680053711, 2.0371453762054443, 2.138859510421753, 2.271177291870117, 2.4163739681243896, 2.333782434463501, 2.3252179622650146, 2.3454294204711914, 2.4439265727996826]"
depth_only,5,50,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,10,100,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,15,150,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,20,200,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
