WMO_ID,cast_a,cast_b,gap_hours,delta_Temperature,delta_Salinity,delta_z,delta_Oxygen,suspicion_score
6901180.0,18149286,18149292,5.344,1.056,263.930564,261.085863,0.108267,6.4
6901180.0,18149292,18149293,4.875,6.666561,28.006475,27.726777,0.009108,11.541561
6901180.0,18149295,18149297,5.203,3.8167,241.244077,238.613134,0.118979,9.0197
6901180.0,18149297,18149298,4.9682,2.948094,1.980801,1.961706,0.002898,7.916294000000001
6901180.0,18149300,18149302,5.0629,2.450435,219.726477,217.327709,0.099311,7.513335
6901180.0,18149302,18149303,4.9682,4.051058,2.437521,2.410933,0.021479,9.019258
6901180.0,18149304,18149305,5.2038,2.639577,220.119666,217.714879,0.057619,7.843377
6901180.0,18149305,18149308,5.25,13.752294,49.604401,49.109803,0.058819,19.002294
6901180.0,18149309,18149310,5.3902,3.833729,216.16333,213.816246,0.091899,9.223929
6901180.0,18149310,18149311,4.828,6.312001,2.269256,2.243128,0.014439,11.140001000000002
6901180.0,18149312,18149317,5.3432,4.45876,202.584389,200.366846,0.023314,9.801960000000001
6901180.0,18149317,18149318,4.922,0.913299,1.647203,1.631818,0.032139,5.835299
6901180.0,18149319,18149321,5.4378,11.71611,284.401502,281.371742,0.106768,17.15391
6901180.0,18149321,18149322,4.8281,0.405765,17.495015,17.326803,0.00596,5.233865
6901180.0,18149323,18149325,5.531,0.33658,139.123691,137.571014,0.028333,5.867579999999999
6901180.0,18149325,18149326,4.6402,7.310579,110.898808,109.757469,0.05863,11.950779
6901180.0,18149327,18149328,5.203,7.274593,220.468413,218.082382,0.065818,12.477593
6901180.0,18149328,18149331,5.203,3.726962,73.537714,72.818143,0.138686,8.929962
6901180.0,18149332,18149334,5.203,4.974885,235.5478,232.996078,0.099329,10.177885
6901180.0,18149334,18149335,5.1091,0.448662,57.296881,56.732012,0.03521,5.557761999999999
6901180.0,18149336,18149342,5.0152,1.666433,163.682172,161.935854,0.062499,6.681633
6901180.0,18149342,18149343,5.1098,5.944758,49.508378,49.01634,0.076541,11.054558
6901180.0,18149345,18149347,5.1098,0.752544,181.954648,180.001524,0.056727,5.862344
6901180.0,18149347,18149348,5.0152,0.611331,8.63518,8.545935,0.014141,5.626531
6901180.0,18149349,18149351,5.297,4.730423,199.188449,197.0171,0.090806,10.027422999999999
6901180.0,18149351,18149352,5.109,0.572695,42.297332,41.868698,0.039131,5.6816949999999995
6901180.0,18149353,18149354,5.203,1.109553,223.710032,221.311927,0.071666,6.312553
6901180.0,18149354,18149357,4.875,1.761974,15.632524,15.475494,0.007461,6.636974
6901180.0,18149358,18149359,5.203,3.532409,220.980425,218.595588,0.103194,8.735409
6901180.0,18149359,18149360,4.9682,0.685468,2.958042,2.927182,0.000214,5.653668000000001
6901180.0,18149361,18149366,5.4372,0.203236,213.496401,211.190028,0.089141,5.640436
6901180.0,18149366,18149367,4.9688,0.32842,12.819308,12.693906,0.014645,5.29722
6901180.0,18149368,18149370,5.156,4.470583,259.895599,257.130194,0.14531,9.626583
6901180.0,18149370,18149372,4.969,1.080296,33.631314,33.31122,0.090259,6.049296
6901180.0,18149373,18149375,5.2038,3.134615,208.094402,205.849021,0.120181,8.338415000000001
6901180.0,18149375,18149376,5.0152,4.422979,11.355176,11.240585,0.010106,9.438179
6901180.0,18149378,18149379,5.25,6.986596,210.589799,208.321354,0.150876,12.236595999999999
6901180.0,18149379,18149382,4.9212,3.43413,24.861756,24.611914,0.020625,8.35533
6901180.0,18149383,18149384,5.2969,1.968257,191.021029,188.941765,0.069675,7.265157
6901180.0,18149384,18149385,4.7341,3.061178,48.273888,47.790264,0.051678,7.795278
6901180.0,18149386,18149392,5.25,0.951209,232.959338,230.468775,0.057251,6.201209
6901180.0,18149392,18149393,4.828,3.615721,9.746675,9.650803,0.078742,8.443721
6901180.0,18149395,18149397,5.0628,8.052755,199.31034,197.156706,0.044766,13.115555
6901180.0,18149397,18149398,5.203,6.384119,42.02666,41.605364,0.060518,11.587119000000001
6901180.0,18149399,18149401,5.0158,1.621572,234.286637,231.761267,0.120684,6.637371999999999
6901180.0,18149401,18149402,5.1092,0.494515,10.669095,10.562594,0.026281,5.603715
6901180.0,18149403,18149404,4.875,5.348611,222.361541,219.954504,0.079616,10.223611
6901180.0,18149404,18149407,5.2031,2.119361,6.263604,6.203767,0.011673,7.3224610000000006
6901180.0,18149409,18149410,5.25,0.861202,110.725096,109.552937,0.040439,6.1112020000000005
6901180.0,18149410,18149411,4.969,0.448311,36.490553,36.119977,0.046589,5.417311000000001
6901180.0,18149413,18149418,5.0628,0.760009,229.8774,227.393429,0.083517,5.822809
6901180.0,18149418,18149419,5.297,0.619416,30.528365,30.220915,0.004266,5.916416
6901180.0,18149422,18149424,5.1098,1.571196,198.192919,196.038298,0.090611,6.680996
6901180.0,18149424,18149425,4.9682,0.066893,31.891736,31.570685,0.008502,5.035093000000001
6901180.0,18149429,18149431,5.3902,6.47306,193.41138,191.301414,0.102506,11.86326
6901180.0,18149431,18149432,4.9219,3.752556,21.977393,21.750589,0.005802,8.674456
6901180.0,18149435,18149437,5.1098,1.174062,222.251639,219.85168,0.111614,6.283862
6901180.0,18149437,18149440,5.1092,3.746618,10.131336,10.031625,0.0191,8.855818
6901180.0,18149442,18149444,5.203,1.793161,247.277462,244.626416,0.104161,6.996161000000001
6901180.0,18149444,18149445,5.0628,4.987131,15.247899,15.098902,0.004341,10.049931
6901180.0,18149446,18149450,5.1098,5.081019,239.516436,236.934726,0.139585,10.190819000000001
6901180.0,18149450,18149451,5.156,3.628703,36.331906,35.965941,0.00959,8.784703
6901180.0,18149454,18149455,5.3432,0.02835,217.173612,214.829776,0.058373,5.37155
6901180.0,18149455,18149456,5.1568,0.883488,37.556813,37.173547,0.005621,6.040287999999999
6901180.0,18149457,18149459,5.344,1.817687,201.892297,199.702214,0.146327,7.161687000000001
6901180.0,18149459,18149460,4.9682,7.22339,9.10552,9.010556,0.036998,12.191590000000001
6901180.0,18149461,18149463,5.156,10.620561,210.011433,207.741337,0.104628,15.776561000000001
6901180.0,18149463,18149466,5.0152,1.604529,3.466197,3.430719,0.015559,6.619729
6901180.0,18149467,18149470,5.25,37.613215,205.045465,202.832721,0.189198,42.863215
6901180.0,18149470,18149471,4.9212,3.8821,5.486088,5.429469,0.053848,8.8033
6901180.0,18149472,18149475,5.2969,1.297406,189.910281,187.839343,0.052479,6.594306
6901180.0,18149475,18149476,4.6872,1.156656,41.572315,41.152679,0.015277,5.843856
6901180.0,18149477,18149478,5.297,1.782996,226.629234,224.194376,0.174759,7.0799959999999995
6901180.0,18149478,18149479,4.9682,0.931468,3.315234,3.284425,0.019819,5.899668
6901180.0,18149480,18149482,5.109,3.727882,208.320968,206.079034,0.063801,8.836882
6901180.0,18149482,18149483,5.297,0.044347,45.146643,44.707255,0.087247,5.341347
6901180.0,18149484,18149487,5.1568,0.049558,214.088368,211.778359,0.091371,5.206358
6901180.0,18149487,18149490,4.9212,0.206169,27.0161,26.755512,0.070144,5.127369
6901180.0,18149492,18149495,5.6712,0.052259,144.759118,143.166092,0.045958,5.723459
6901180.0,18149495,18149496,4.594,6.644105,58.019872,57.42873,0.039023,11.238105000000001
6901180.0,18149497,18149501,5.3902,5.394342,257.054546,254.327031,0.110426,10.784542
6901180.0,18149501,18149502,4.922,1.593487,7.03567,6.967695,0.016356,6.515487
6901180.0,18149504,18149505,5.3902,3.630568,237.916317,235.359273,0.116224,9.020768
6901180.0,18149505,18149506,4.875,1.427579,33.513782,33.183219,0.000795,6.302579
6901180.0,18149507,18149509,5.25,2.396902,204.263093,202.079395,0.068058,7.646902
6901180.0,18149509,18149510,5.0628,2.919385,30.629359,30.324508,0.080508,7.982185
6901180.0,18149511,18149513,5.1098,0.58229,208.530222,206.305066,0.053919,5.69209
6901180.0,18149513,18149516,5.0152,0.894189,4.411101,4.370943,0.019943,5.909389
6901181.0,18253053,18253055,1.3591,2.436074,110.289887,109.284873,0.079983,3.7951740000000003
6901181.0,18253055,18253056,1.969,8.350051,227.855765,225.421348,0.044849,10.319051
